Region,Estimated Unemployment Rate (%)
Sikkim,4.04
Sikkim,7.37
Sikkim,20.45
Sikkim,5.77
Sikkim,19.75
Sikkim,2.63
Tamil Nadu,0.89
Tamil Nadu,1.56
Tamil Nadu,3.18
Tamil Nadu,9.53
Tamil Nadu,1.86
Tamil Nadu,1.13
Tamil Nadu,2.65
Tamil Nadu,8.05
Tamil Nadu,2.05
Tamil Nadu,3.31
Tamil Nadu,6.46
Tamil Nadu,45.55
Tamil Nadu,25.95
Tamil Nadu,24.93
Telangana,1.52
Telangana,1.43
Telangana,3.73
Telangana,4.19
Telangana,6.19
Telangana,6.74
Telangana,5.23
Telangana,4.22
Telangana,6.49
Telangana,6.74
Telangana,6.1
Telangana,10.5
Telangana,36.57
Telangana,6.92
Tripura,34.69
Tripura,25.59
Tripura,25.81
Tripura,33.45
Tripura,33.57
Tripura,26.67
Tripura,27.15
Tripura,33.48
Tripura,34.37
Tripura,33.88
Tripura,25.69
Tripura,34.88
Tripura,16.78
Tripura,27.47
Uttar Pradesh,14.4
Uttar Pradesh,11.62
Uttar Pradesh,11.8
Uttar Pradesh,14.73
Uttar Pradesh,13.58
Uttar Pradesh,10.35
Uttar Pradesh,11.31
Uttar Pradesh,12.37
Uttar Pradesh,12.34
Uttar Pradesh,11.65
Uttar Pradesh,12.32
Uttar Pradesh,26.94
Uttar Pradesh,32.06
Uttar Pradesh,13.05
Uttarakhand,9.17
Uttarakhand,4.69
Uttarakhand,6.94
Uttarakhand,7.43
Uttarakhand,9.62
Uttarakhand,4.72
Uttarakhand,6.34
Uttarakhand,7.39
Uttarakhand,8.92
Uttarakhand,5.28
Uttarakhand,8.15
Uttarakhand,13.18
Uttarakhand,17.36
Uttarakhand,5.08
West Bengal,7.25
West Bengal,7.38
West Bengal,7.91
West Bengal,7.27
West Bengal,7.79
West Bengal,7.83
West Bengal,6.61
West Bengal,7.24
West Bengal,7.27
West Bengal,7.55
West Bengal,6.67
West Bengal,15.63
West Bengal,15.22
West Bengal,9.86
